index,Country,CountryCode
0,Albania,142
1,Algeria,1
2,Andorra,2
3,Angola,3
4,Argentina,4
5,Armenia,5
6,Australia,6
7,Austria,7
8,Azerbaijan,8
9,Bahrain,9
10,Bangladesh,10
11,Belarus,11
12,Belgium,12
13,Belize,13
14,Bermuda,14
15,Bolivia,15
16,Bosnia and Herzegovina,16
17,Brazil,17
18,Brunei,18
19,Bulgaria,19
20,Burkina Faso,20
21,Cambodia,21
22,Canada,22
23,Cape Verde,23
24,Cayman Islands,24
25,Central African Republic,25
26,Chad,26
27,Chile,27
28,China,28
29,Colombia,29
30,Costa Rica,30
31,Croatia,31
32,Cyprus,32
33,Czech Republic,33
34,Denmark,34
35,Dominican Republic,35
36,Ecuador,36
37,Egypt,37
38,El Salvador,38
39,Estonia,39
40,Ethiopia,40
41,Finland,41
42,France,42
43,French Guiana,43
44,Gabon,44
45,Gambia,45
46,Georgia,46
47,Germany,47
48,Ghana,48
49,Gibraltar,49
50,Greece,50
51,Grenada,51
52,Guadeloupe,52
53,Guam,53
54,Guatemala,54
55,Honduras,55
56,Hong Kong,56
57,Hungary,57
58,Iceland,58
59,India,59
60,Indonesia,60
61,Iran,61
62,Iraq,62
63,Ireland,63
64,Israel,64
65,Italy,65
66,Ivory Coast,66
67,Japan,67
68,Jersey,68
69,Jordan,69
70,Kazakhstan,70
71,Kenya,71
72,Kosovo,72
73,Kuwait,73
74,Kyrgyzstan,74
75,Laos,75
76,Latvia,76
77,Lebanon,77
78,Liberia,78
79,Liechtenstein,79
80,Lithuania,80
81,Luxembourg,81
82,Macao,82
83,Macedonia,83
84,Madagascar,84
85,Malaysia,85
86,Malta,86
87,Martinique,87
88,Mexico,88
89,Moldova,89
90,Monaco,90
91,Mongolia,91
92,Montenegro,92
93,Myanmar,93
94,Nepal,94
95,Netherlands,95
96,New Caledonia,96
97,New Zealand,97
98,Nigeria,98
99,Norway,99
100,Pakistan,100
101,Palestinian Territory,101
102,Peru,102
103,Philippines,103
104,Poland,104
105,Portugal,105
106,Puerto Rico,106
107,Qatar,107
108,Reunion,108
109,Romania,109
110,Russia,110
111,San Marino,111
112,Saudi Arabia,112
113,Senegal,113
114,Serbia,114
115,Singapore,115
116,Slovakia,116
117,Slovenia,117
118,South Africa,118
119,South Korea,119
120,Spain,120
121,Sri Lanka,121
122,Sudan,122
123,Sweden,123
124,Switzerland,124
125,Taiwan,125
126,Tajikistan,126
127,Thailand,127
128,Togo,128
129,Trinidad and Tobago,129
130,Turkey,130
131,Turkmenistan,131
132,Uganda,132
133,Ukraine,133
134,United Arab Emirates,134
135,United Kingdom of Great Britain and Northern Ireland,135
136,United States of America,136
137,Uzbekistan,137
138,Vatican,138
139,Venezuela,139
140,Vietnam,140
141,Zambia,141
