index,Date,Country,Status,AQI
0,2022-07-21,Albania,Good,15.5
1,2022-07-21,Algeria,Moderate,65.0
2,2022-07-21,Andorra,Moderate,53.0
3,2022-07-21,Angola,Unhealthy for Sensitive Groups,132.5
4,2022-07-21,Argentina,Moderate,62.0
5,2022-07-21,Armenia,Moderate,77.0
6,2022-07-21,Australia,Moderate,55.0
7,2022-07-21,Austria,Good,46.5
8,2022-07-21,Azerbaijan,Good,15.0
9,2022-07-21,Bahrain,Unhealthy,163.0
10,2022-07-21,Bangladesh,Unhealthy for Sensitive Groups,141.0
11,2022-07-21,Belarus,Good,12.5
12,2022-07-21,Belgium,Moderate,64.0
13,2022-07-21,Belize,Good,28.5
14,2022-07-21,Bermuda,Good,10.5
15,2022-07-21,Bolivia,Good,9.5
16,2022-07-21,Bosnia and Herzegovina,Moderate,61.5
17,2022-07-21,Brazil,Moderate,66.5
18,2022-07-21,Brunei,Good,15.0
19,2022-07-21,Bulgaria,Good,28.5
20,2022-07-21,Burkina Faso,Unhealthy for Sensitive Groups,136.0
21,2022-07-21,Cambodia,Good,15.0
22,2022-07-21,Canada,Moderate,63.0
23,2022-07-21,Cape Verde,Good,43.5
24,2022-07-21,Cayman Islands,Good,7.0
25,2022-07-21,Central African Republic,Unhealthy,158.5
26,2022-07-21,Chad,Moderate,91.5
27,2022-07-21,Chile,Unhealthy,195.0
28,2022-07-21,China,Unhealthy,155.5
29,2022-07-21,Colombia,Moderate,61.5
30,2022-07-21,Costa Rica,Good,24.5
31,2022-07-21,Croatia,Good,33.5
32,2022-07-21,Cyprus,Moderate,51.5
33,2022-07-21,Czech Republic,Moderate,80.0
34,2022-07-21,Denmark,Good,36.0
35,2022-07-21,Dominican Republic,Good,25.5
36,2022-07-21,Ecuador,Moderate,56.0
37,2022-07-21,Egypt,Moderate,86.0
38,2022-07-21,El Salvador,Moderate,80.0
39,2022-07-21,Estonia,Good,15.5
40,2022-07-21,Ethiopia,Unhealthy,163.0
41,2022-07-21,Finland,Good,25.0
42,2022-07-21,France,Moderate,72.5
43,2022-07-21,French Guiana,Good,13.0
44,2022-07-21,Gabon,Unhealthy for Sensitive Groups,123.5
45,2022-07-21,Gambia,Good,7.0
46,2022-07-21,Georgia,Good,41.0
